#;Foldername;Flight Field ID;Project;Route type (MS, 3D, Thermal, RGB);Drone Model;Drone Pilot;Reflectance Panel (New/Old);Flight Date;Flight Start;Flight End;Wind Speed;Flight Comments;Step 1 P4D Proj.;Done by;Workable Data;P4D Processing;Done by;PC Used;Processing Comments;Flight Height;Side Overlap;Front Overlap;Wind (m/s);Drone type;New folder name;Root Folder;Flight path;Pix4D path
13;DJI_202408261551_001_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;26-Aug-2024;;;;;;;;;;;;20m;80;85;;M3M;20240826 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240826 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240826 RyeGrass M3M 20m 3D 80 85
14;DJI_202408271035_002_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;27-Aug-2024;;;;;;;;;;;;30m;80;85;;M3M;20240827 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240827 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240827 RyeGrass M3M 30m MS 80 85
15;DJI_202409061312_003_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;6-Sep-2024;;;;;;;;;;;;20m;80;85;;M3M;20240906 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240906 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240906 RyeGrass M3M 20m 3D 80 85
16;DJI_202409061312_002_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;6-Sep-2024;;;;;;;;;;;;30m;80;85;;M3M;20240906 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240906 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240906 RyeGrass M3M 30m MS 80 85
17;DJI_202409121240_008_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;12-Sep-2024;;;;;;;;;;;;20m;80;85;;M3M;20240912 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240912 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240912 RyeGrass M3M 20m 3D 80 85
18;DJI_202409121218_005_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;12-Sep-2024;;;;;;;;;;;;30m;80;85;;M3M;20240912 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240912 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240912 RyeGrass M3M 30m MS 80 85
19;DJI_202503191242_004_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;19-Mar-2025;;;;;;;;;;;;20m;80;85;;M3M;20250319 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250319 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250319 RyeGrass M3M 20m 3D 80 85
20;DJI_202503191216_002_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;19-Mar-2025;;;;;;;;;;;;30m;80;85;;M3M;20250319 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250319 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250319 RyeGrass M3M 30m MS 80 85
21;DJI_202503191242_003_RyegrassMS-20m;RyeGrass;DLT-Farming;MS;M3M;;;19-Mar-2025;;;;;;;;;;;;20m;80;85;;M3M;20250319 RyeGrass M3M 20m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250319 RyeGrass M3M 20m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250319 RyeGrass M3M 20m MS 80 85
22;DJI_202504081217_007_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M-1;;;8-Apr-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250408 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250408 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250408 RyeGrass M3M-1 20m 3D 80 85
