2024-12-12 02:36:58,PRO_BAR_VOLL_3D_number of images
2024-12-12 02:57:23,20240703 OAT_FRONTIERS M3M 20m 3D 80 85,2.80647233966738
2024-12-12 02:57:23,20240709 OAT_FRONTIERS M3M 20m 3D 80 85,2.624868013896048
2024-12-12 02:57:23,20240716 OAT_FRONTIERS M3M 20m 3D 80 85,2.9037074372172356
2024-12-12 02:57:23,20240723 OAT_FRONTIERS M3M 20m 3D 80 85,3.0713585605844855
2024-12-12 02:57:23,20240730 OAT_FRONTIERS M3M 20m 3D 80 85,3.0380416670814157
2024-12-12 02:57:23,20240805 OAT_FRONTIERS M3M 20m 3D 80 85,3.130132993683219
2024-12-12 02:57:23,20240812 OAT_FRONTIERS M3M 20m 3D 80 85,3.284978060051799
2024-12-12 02:57:23,20240819 OAT_FRONTIERS M3M 20m 3D 80 85,3.2827582014724612
2024-12-12 03:07:53,OAT_FRONTIERS_MS_number of images
2024-12-12 03:07:53,20240603 OAT_FRONTIERS M3M 20m MS 80 85,11.410286319442093
2024-12-12 03:07:53,20240603 OAT_FRONTIERS M3M 30m MS 80 85,5.354519457556307
2024-12-12 03:07:53,20240607 OAT_FRONTIERS M3M 20m MS 80 85,11.586890543811023
2024-12-12 03:07:53,20240607 OAT_FRONTIERS M3M 30m MS 80 85,5.3929205276072025
2024-12-12 03:07:53,20240611 OAT_FRONTIERS M3M 20m MS 80 85,11.180301678366959
2024-12-12 03:07:53,20240611 OAT_FRONTIERS M3M 30m MS 80 85,5.331241340376437
2024-12-12 03:07:53,20240620 OAT_FRONTIERS M3M 30m MS 80 85,5.1694504879415035
2024-12-12 03:07:53,20240621 OAT_FRONTIERS M3M 20m MS 80 85,11.357569792307913
2024-12-12 03:07:53,20240624 OAT_FRONTIERS M3M 20m MS 80 85,11.305472820997238
2024-12-12 03:07:53,20240624 OAT_FRONTIERS M3M 30m MS 80 85,5.212422793731093
2024-12-12 03:07:53,20240702 OAT_FRONTIERS M3M 20m MS 80 85,11.234178914688528
2024-12-12 03:07:53,20240703 OAT_FRONTIERS M3M 30m MS 80 85,4.688501416705549
2024-12-12 03:07:53,20240708 OAT_FRONTIERS M3M 20m MS 80 85,10.717309449799359
2024-12-12 03:07:53,20240708 OAT_FRONTIERS M3M 30m MS 80 85,4.796425160951912
2024-12-12 03:07:53,20240718 OAT_FRONTIERS M3M 20m MS 80 85,10.783235342241824
2024-12-12 03:07:53,20240718 OAT_FRONTIERS M3M 30m MS 80 85,4.744794746860862
2024-12-12 03:07:53,20240729 OAT_FRONTIERS M3M 20m MS 80 85,10.941994476132095
2024-12-12 03:07:53,20240729 OAT_FRONTIERS M3M 30m MS 80 85,4.795559108257294
2024-12-12 03:07:53,20240805 OAT_FRONTIERS M3M 20m MS 80 85,10.933070137165487
2024-12-12 03:07:53,20240806 OAT_FRONTIERS M3M 30m MS 80 85,4.854797728359699
2024-12-12 03:07:53,20240812 OAT_FRONTIERS M3M 20m MS 80 85,10.56058307737112
2024-12-12 03:07:53,20240812 OAT_FRONTIERS M3M 30m MS 80 85,5.014969913288951
2024-12-12 03:07:53,20240819 OAT_FRONTIERS M3M 20m MS 80 85,11.157424423843622
2024-12-12 03:07:53,20240819 OAT_FRONTIERS M3M 30m MS 80 85,4.9719005562365055
2024-12-12 03:07:53,20240826 OAT_FRONTIERS M3M 20m MS 80 85,11.108901996165514
