2024-11-18 15:14:51,20240625 PHENO_CROP M3M 30m MS 80 85,"['20240625 PHENO_CROP M3M 30m MS 80 85_transparent_mosaic_green.tif', '20240625 PHENO_CROP M3M 30m MS 80 85_transparent_mosaic_group1.tif', '20240625 PHENO_CROP M3M 30m MS 80 85_transparent_mosaic_nir.tif', '20240625 PHENO_CROP M3M 30m MS 80 85_transparent_mosaic_red edge.tif', '20240625 PHENO_CROP M3M 30m MS 80 85_transparent_mosaic_red.tif', '20240625 PHENO_CROP M3M 30m MS 80 85_index_green_green.tif', '20240625 PHENO_CROP M3M 30m MS 80 85_index_nir_nir.tif', '20240625 PHENO_CROP M3M 30m MS 80 85_index_red_edge_red_edge.tif', '20240625 PHENO_CROP M3M 30m MS 80 85_index_red_red.tif', '20240625 PHENO_CROP M3M 30m MS 80 85_index_ndvi.tif']"
2024-11-18 15:14:51,20240701 PHENO_CROP P4M 20m MS 70 75,"['20240701 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_blue.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_green.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_group1.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_nir.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red edge.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_index_green_green.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_index_nir_nir.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_index_red_edge_red_edge.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_index_red_red.tif', '20240701 PHENO_CROP P4M 20m MS 70 75_index_ndvi.tif']"
2024-11-18 15:14:51,20240705 PHENO_CROP M3M 30m MS 70 75,"['20240705 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_green.tif', '20240705 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_group1.tif', '20240705 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_nir.tif', '20240705 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_red edge.tif', '20240705 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_red.tif', '20240705 PHENO_CROP M3M 30m MS 70 75_index_green_green.tif', '20240705 PHENO_CROP M3M 30m MS 70 75_index_nir_nir.tif', '20240705 PHENO_CROP M3M 30m MS 70 75_index_red_edge_red_edge.tif', '20240705 PHENO_CROP M3M 30m MS 70 75_index_red_red.tif', '20240705 PHENO_CROP M3M 30m MS 70 75_index_ndvi.tif']"
2024-11-18 15:14:51,20240708 PHENO_CROP M3M 30m MS 70 75,"['20240708 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_green.tif', '20240708 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_group1.tif', '20240708 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_nir.tif', '20240708 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_red edge.tif', '20240708 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_red.tif', '20240708 PHENO_CROP M3M 30m MS 70 75_index_green_green.tif', '20240708 PHENO_CROP M3M 30m MS 70 75_index_nir_nir.tif', '20240708 PHENO_CROP M3M 30m MS 70 75_index_red_edge_red_edge.tif', '20240708 PHENO_CROP M3M 30m MS 70 75_index_red_red.tif', '20240708 PHENO_CROP M3M 30m MS 70 75_index_ndvi.tif']"
2024-11-18 15:14:51,20240708 PHENO_CROP P4M 20m MS 70 75,"['20240708 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_blue.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_green.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_group1.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_nir.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red edge.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_index_blue_blue.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_index_green_green.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_index_nir_nir.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_index_red_edge_red_edge.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_index_red_red.tif', '20240708 PHENO_CROP P4M 20m MS 70 75_index_ndvi.tif']"
2024-11-18 15:14:51,20240718 PHENO_CROP M3M 30m MS 70 75,"['20240718 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_green.tif', '20240718 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_group1.tif', '20240718 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_nir.tif', '20240718 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_red edge.tif', '20240718 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_red.tif', '20240718 PHENO_CROP M3M 30m MS 70 75_index_green_green.tif', '20240718 PHENO_CROP M3M 30m MS 70 75_index_nir_nir.tif', '20240718 PHENO_CROP M3M 30m MS 70 75_index_red_edge_red_edge.tif', '20240718 PHENO_CROP M3M 30m MS 70 75_index_red_red.tif', '20240718 PHENO_CROP M3M 30m MS 70 75_index_ndvi.tif']"
2024-11-18 15:14:51,20240718 PHENO_CROP P4M 20m MS 70 75,"['20240718 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_blue.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_green.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_group1.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_nir.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red edge.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_index_blue_blue.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_index_green_green.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_index_nir_nir.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_index_red_edge_red_edge.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_index_red_red.tif', '20240718 PHENO_CROP P4M 20m MS 70 75_index_ndvi.tif']"
2024-11-18 15:14:51,20240724 PHENO_CROP M3M 30m MS 70 75,"['20240724 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_green.tif', '20240724 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_group1.tif', '20240724 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_nir.tif', '20240724 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_red edge.tif', '20240724 PHENO_CROP M3M 30m MS 70 75_transparent_mosaic_red.tif', '20240724 PHENO_CROP M3M 30m MS 70 75_index_green_green.tif', '20240724 PHENO_CROP M3M 30m MS 70 75_index_nir_nir.tif', '20240724 PHENO_CROP M3M 30m MS 70 75_index_red_edge_red_edge.tif', '20240724 PHENO_CROP M3M 30m MS 70 75_index_red_red.tif', '20240724 PHENO_CROP M3M 30m MS 70 75_index_ndvi.tif']"
2024-11-18 15:14:51,20240724 PHENO_CROP P4M 20m MS 70 75,"['20240724 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_blue.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_green.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_group1.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_nir.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red edge.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_index_green_green.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_index_nir_nir.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_index_red_edge_red_edge.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_index_red_red.tif', '20240724 PHENO_CROP P4M 20m MS 70 75_index_ndvi.tif']"
2024-11-18 15:14:51,20240729 PHENO_CROP P4M 20m MS 70 75,"['20240729 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_blue.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_green.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_group1.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_nir.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red edge.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_transparent_mosaic_red.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_index_blue_blue.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_index_green_green.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_index_nir_nir.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_index_red_edge_red_edge.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_index_red_red.tif', '20240729 PHENO_CROP P4M 20m MS 70 75_index_ndvi.tif']"
